Width,Length,Rim Angle,Focal Length,Parabola Height,Arc Length,Surface Area,Concentration Ratio,Aspect Ratio,Arc Angle,Parabola Coefficient
0.9,2.22222,79,0.27295,0.18548,0.99346,2.20768,1.10384,2.46914,1.37881,0.91593
0.85,2.35294,79,0.25778,0.17517,0.93826,2.20768,1.10384,2.76817,1.37881,0.96981
0.5,4,79,0.15164,0.10304,0.55192,2.20768,1.10384,8,1.37881,1.64867
1.5,1.33333,79,0.45491,0.30913,1.65576,2.20768,1.10384,0.88889,1.37881,0.54956
1.45,1.37931,79,0.43975,0.29882,1.60057,2.20768,1.10384,0.95125,1.37881,0.56851
0.75,2.66667,79,0.22746,0.15456,0.82788,2.20768,1.10384,3.55556,1.37881,1.09912
0.8,2.5,79,0.24262,0.16487,0.88307,2.20768,1.10384,3.125,1.37881,1.03042
0.6,3.33333,79,0.18196,0.12365,0.6623,2.20768,1.10384,5.55556,1.37881,1.37389
0.7,2.85714,79,0.21229,0.14426,0.77269,2.20768,1.10384,4.08163,1.37881,1.17762
0.65,3.07692,79,0.19713,0.13395,0.7175,2.20768,1.10384,4.73373,1.37881,1.26821
0.55,3.63636,79,0.1668,0.11335,0.60711,2.20768,1.10384,6.61157,1.37881,1.49879
1.1,1.81818,79,0.3336,0.22669,1.21422,2.20768,1.10384,1.65289,1.37881,0.7494
1,2,79,0.30327,0.20608,1.10384,2.20768,1.10384,2,1.37881,0.82434
1.15,1.73913,79,0.34877,0.237,1.26942,2.20768,1.10384,1.51229,1.37881,0.71681
1.2,1.66667,79,0.36393,0.2473,1.32461,2.20768,1.10384,1.38889,1.37881,0.68695
1.25,1.6,79,0.37909,0.25761,1.3798,2.20768,1.10384,1.28,1.37881,0.65947
1.3,1.53846,79,0.39426,0.26791,1.43499,2.20768,1.10384,1.18343,1.37881,0.6341
1.4,1.42857,79,0.42458,0.28852,1.54538,2.20768,1.10384,1.02041,1.37881,0.58881
1.35,1.48148,79,0.40942,0.27821,1.49018,2.20768,1.10384,1.09739,1.37881,0.61062
1.05,1.90476,79,0.31844,0.21639,1.15903,2.20768,1.10384,1.81406,1.37881,0.78508
0.95,2.10526,79,0.28811,0.19578,1.04865,2.20768,1.10384,2.21607,1.37881,0.86772
